kd_kementerian;kemeterian;kd_program;program;kd_kegiatan;Kegiatan;kd_output;output;kd_nawacita;nawacita;Tematik;Janpres;kd_PN;PN;kd_PP;PP;kd_KP;KP;kd_PPN;PPN;kd_prov;provinsi;kd_kota;Kota; Anggaran 
011;KEMENTERIAN LUAR NEGERI;13;Program Optimalisasi Informasi dan Diplomasi Publik;1333;Penguatan Citra Positif Indonesia Melalui Peningkatan Peran di Bidang Pemberian Bantuan Kerja Sama Teknik yang Berkualitas;004;Terwujudnya Kebijakan Satu Pintu (Single Agency) Pengelolaan Kerja Sama Selatan-Selatan Indonesia;;;2;0;60;Politik, Hukum, dan Pertahanan Keamanan;50;Stabilitas Politik dan Keamanan;55;Penguatan Diplomasi Ekonomi dan Kerjasama Pembangunan;1025;Pembentukan single agency KSST;00;Pusat;0000;Pusat; 2.143.618 
011;KEMENTERIAN LUAR NEGERI;13;Program Optimalisasi Informasi dan Diplomasi Publik;1333;Penguatan Citra Positif Indonesia Melalui Peningkatan Peran di Bidang Pemberian Bantuan Kerja Sama Teknik yang Berkualitas;001;Bantuan kerja sama teknik Indonesia yang berkualitas;07;Mewujudkan Kemandirian Ekonomi dengan Menggerakkan Sektor-Sektor Strategis Ekonomi Domestik;2;0;;;;;;;;;52;Amerika Selatan;5200;Amerika Selatan; 2.708.830 
011;KEMENTERIAN LUAR NEGERI;13;Program Optimalisasi Informasi dan Diplomasi Publik;1333;Penguatan Citra Positif Indonesia Melalui Peningkatan Peran di Bidang Pemberian Bantuan Kerja Sama Teknik yang Berkualitas;001;Bantuan kerja sama teknik Indonesia yang berkualitas;01;Menghadirkan Kembali Negara Untuk Melindungi Segenap Bangsa dan Memberi Rasa Aman Pada Seluruh Warga Negara;2;0;;;;;;;;;57;Asia Pasifik;5700;Asia Pasifik; 5.222.414 
011;KEMENTERIAN LUAR NEGERI;13;Program Optimalisasi Informasi dan Diplomasi Publik;1333;Penguatan Citra Positif Indonesia Melalui Peningkatan Peran di Bidang Pemberian Bantuan Kerja Sama Teknik yang Berkualitas;003;Bantuan kerja sama teknik Indonesia yang memiliki peluang ekonomi;;;2;0;;;;;;;;;55;Afrika;5500;Afrika; 6.300.768 
018;KEMENTERIAN PERTANIAN;11;Program Penyediaan dan Pengembangan Prasarana dan Sarana Pertanian;1796;Pengelolaan Sistem Penyediaan dan Pengawasan Alat Mesin Pertanian;001;Alat dan Mesin Pertanian Pra Panen;;;1;0;56;Ketahanan Pangan;22;Pembangunan Sarana dan Prasarana Pertanian (termasuk irigasi);108;Alat dan mesin pertanian;220;Bantuan alat dan mesin pertanian pra panen padi;00;Pusat;0000;Pusat; 2.848.826.750 
018;KEMENTERIAN PERTANIAN;11;Program Penyediaan dan Pengembangan Prasarana dan Sarana Pertanian;1796;Pengelolaan Sistem Penyediaan dan Pengawasan Alat Mesin Pertanian;001;Alat dan Mesin Pertanian Pra Panen;;;1;0;56;Ketahanan Pangan;22;Pembangunan Sarana dan Prasarana Pertanian (termasuk irigasi);108;Alat dan mesin pertanian;220;Bantuan alat dan mesin pertanian pra panen padi;00;Pusat;0000;Pusat; 758.518 
018;KEMENTERIAN PERTANIAN;09;Program Pemenuhan Pangan Asal Ternak dan Agribisnis Peternakan Rakyat;1783;Peningkatan Produksi Pakan Ternak;400;Hijauan Pakan Ternak;07;Mewujudkan Kemandirian Ekonomi dengan Menggerakkan Sektor-Sektor Strategis Ekonomi Domestik;4;0;56;Ketahanan Pangan;21;Peningkatan Produksi Pangan;80;Produksi Daging Sapi 710 ribu ton;179;Penyediaan pakan ternak di 13 sentra/kawasan sapi potong;03;Provinsi Jawa Tengah;0308;Kab. Brebes; 77.000 
018;KEMENTERIAN PERTANIAN;09;Program Pemenuhan Pangan Asal Ternak dan Agribisnis Peternakan Rakyat;1783;Peningkatan Produksi Pakan Ternak;400;Hijauan Pakan Ternak;07;Mewujudkan Kemandirian Ekonomi dengan Menggerakkan Sektor-Sektor Strategis Ekonomi Domestik;4;0;56;Ketahanan Pangan;21;Peningkatan Produksi Pangan;80;Produksi Daging Sapi 710 ribu ton;179;Penyediaan pakan ternak di 13 sentra/kawasan sapi potong;18;Provinsi Sulawesi Tengah;1800;Provinsi Sulawesi Tengah; 77.000 
018;KEMENTERIAN PERTANIAN;11;Program Penyediaan dan Pengembangan Prasarana dan Sarana Pertanian;1794;Pengelolaan Air Irigasi Untuk Pertanian;001;Jaringan Irigasi Tersier;07;Mewujudkan Kemandirian Ekonomi dengan Menggerakkan Sektor-Sektor Strategis Ekonomi Domestik;4;1;56;Ketahanan Pangan;22;Pembangunan Sarana dan Prasarana Pertanian (termasuk irigasi);105;Pembangunan dan rehabilitasi jaringan irigasi;694;Rehabilitasi jaringan irigasi;34;Provinsi Sulawesi Barat;3406;Kab. Mamuju Tengah; 92.400 
018;KEMENTERIAN PERTANIAN;11;Program Penyediaan dan Pengembangan Prasarana dan Sarana Pertanian;1794;Pengelolaan Air Irigasi Untuk Pertanian;001;Jaringan Irigasi Tersier;07;Mewujudkan Kemandirian Ekonomi dengan Menggerakkan Sektor-Sektor Strategis Ekonomi Domestik;4;1;56;Ketahanan Pangan;22;Pembangunan Sarana dan Prasarana Pertanian (termasuk irigasi);105;Pembangunan dan rehabilitasi jaringan irigasi;694;Rehabilitasi jaringan irigasi;08;Provinsi Sumatera Barat;0852;Kota Padang Panjang; 92.400 
018;KEMENTERIAN PERTANIAN;11;Program Penyediaan dan Pengembangan Prasarana dan Sarana Pertanian;1794;Pengelolaan Air Irigasi Untuk Pertanian;007;Pembangunan Embung Pertanian;07;Mewujudkan Kemandirian Ekonomi dengan Menggerakkan Sektor-Sektor Strategis Ekonomi Domestik;4;0;56;Ketahanan Pangan;22;Pembangunan Sarana dan Prasarana Pertanian (termasuk irigasi);106;Pembangunan dan Rehabilitasi Bendungan dan Embung;213;Pembangunan embung;06;Provinsi Aceh;0607;Kab. Aceh Tengah; 92.400 
018;KEMENTERIAN PERTANIAN;11;Program Penyediaan dan Pengembangan Prasarana dan Sarana Pertanian;1794;Pengelolaan Air Irigasi Untuk Pertanian;007;Pembangunan Embung Pertanian;07;Mewujudkan Kemandirian Ekonomi dengan Menggerakkan Sektor-Sektor Strategis Ekonomi Domestik;4;0;56;Ketahanan Pangan;22;Pembangunan Sarana dan Prasarana Pertanian (termasuk irigasi);106;Pembangunan dan Rehabilitasi Bendungan dan Embung;213;Pembangunan embung;06;Provinsi Aceh;0608;Kab. Aceh Tenggara; 92.400 
018;KEMENTERIAN PERTANIAN;11;Program Penyediaan dan Pengembangan Prasarana dan Sarana Pertanian;1794;Pengelolaan Air Irigasi Untuk Pertanian;007;Pembangunan Embung Pertanian;07;Mewujudkan Kemandirian Ekonomi dengan Menggerakkan Sektor-Sektor Strategis Ekonomi Domestik;4;0;56;Ketahanan Pangan;22;Pembangunan Sarana dan Prasarana Pertanian (termasuk irigasi);106;Pembangunan dan Rehabilitasi Bendungan dan Embung;213;Pembangunan embung;06;Provinsi Aceh;0603;Kab. Aceh Utara; 92.400 
018;KEMENTERIAN PERTANIAN;11;Program Penyediaan dan Pengembangan Prasarana dan Sarana Pertanian;1794;Pengelolaan Air Irigasi Untuk Pertanian;007;Pembangunan Embung Pertanian;07;Mewujudkan Kemandirian Ekonomi dengan Menggerakkan Sektor-Sektor Strategis Ekonomi Domestik;4;0;56;Ketahanan Pangan;22;Pembangunan Sarana dan Prasarana Pertanian (termasuk irigasi);106;Pembangunan dan Rehabilitasi Bendungan dan Embung;213;Pembangunan embung;06;Provinsi Aceh;0611;Kab. Bireun; 92.400 
